Account Number,Username,Password,FirstName,LastName,PinNumber,AvailableBalance,TotalBalance,TransferLimit,IsAdmin
409000362497,409000362497,,Jun,Tao,,-1.9014169612600114E9,-1.9014169612600114E9,,False
1196428,1196428,,Ti,Ti,,-1.6872339538600025E9,-1.6872339538600025E9,,False
1196711,1196711,,Jun,Jun,,-1.586915589250004E9,-1.586915589250004E9,,False
409000438620,409000438620,,Yue,Ti,,-5.399631206100013E8,-5.399631206100013E8,,False
409000493210,409000493210,,Hu,Jun,,-5.463146400199999E8,-5.463146400199999E8,,False
409000438611,409000438611,,Ti,Ti,,-5.4791932895E8,-5.4791932895E8,,False
409000405747,409000405747,,Jun,Yue,,-5.4826745865E8,-5.4826745865E8,,False
409000425051,409000425051,,Ti,Tao,,-3.5673478865E8,-3.5673478865E8,,False
409000493201,409000493201,,Kai,Jun,,743583.3199999955,743583.3199999955,,False
409000611074,409000611074,,Tao,Ti,,462200.0,462200.0,,False
